Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
45899240,"Monstress, Vol. 4: The Chosen",Marjorie M. Liu,"Liu, Marjorie M.",Sana Takeda,"=""1534313362""","=""9781534313361""",3,4.23,Image Comics,Paperback,176,2019,2019,,2019/09/28,"ebook, hoopla, spl","ebook (#114), hoopla (#18), spl (#52)",read,,,,1,,,0,,,,,
27066782,"The Mighty Thor, Volume 1: Thunder in Her Veins",Jason Aaron,"Aaron, Jason",Russell Dauterman,"=""078519522X""","=""9780785195221""",0,4.11,Marvel,Hardcover,146,2016,2016,,2019/09/14,"hoopla, spl, ebook","hoopla (#16), spl (#50), ebook (#112)",read,,,,1,,,0,,,,,
45284951,Coda #11,Simon Spurrier,"Spurrier, Simon",Matías Bergara,"=""""","=""""",0,4.43,BOOM! Studios,Kindle Edition,26,2019,2019,,2019/09/14,"ebook, kindle","ebook (#109), kindle (#87)",read,,,,1,,,0,,,,,
44437342,Coda #10,Simon Spurrier,"Spurrier, Simon",Matías Bergara,"=""""","=""""",0,4.41,BOOM! Studios,Kindle Edition,24,2019,2019,,2019/09/14,"ebook, hoopla, spl","ebook (#108), hoopla (#13), spl (#47)",read,,,,1,,,0,,,,,
46056080,Coda #12,Simon Spurrier,"Spurrier, Simon","Matías Bergara, Michael Doig","=""""","=""""",0,4.39,BOOM! Studios,Kindle Edition,26,2019,2019,,2019/09/14,"ebook, hoopla, spl","ebook (#110), hoopla (#14), spl (#48)",read,,,,1,,,0,,,,,
43617978,Coda #9,Simon Spurrier,"Spurrier, Simon",Matías Bergara,"=""""","=""""",0,4.29,BOOM! Studios,Kindle Edition,28,2019,2019,,2019/09/14,"ebook, hoopla, spl","ebook (#107), hoopla (#12), spl (#46)",read,,,,1,,,0,,,,,
42433615,Coda #6,Simon Spurrier,"Spurrier, Simon",Matías Bergara,"=""""","=""""",0,4.17,BOOM! Studios,Kindle Edition,26,2018,2018,,2019/09/14,"ebook, hoopla, spl","ebook (#104), hoopla (#9), spl (#43)",read,,,,1,,,0,,,,,
42971901,Coda #7,Simon Spurrier,"Spurrier, Simon",Matías Bergara,"=""""","=""""",0,4.12,BOOM! Studios,Kindle Edition,27,2018,2018,,2019/09/14,"ebook, hoopla, spl","ebook (#105), hoopla (#10), spl (#44)",read,,,,1,,,0,,,,,
43453930,Coda #8,Simon Spurrier,"Spurrier, Simon",Matías Bergara,"=""""","=""""",0,4.31,BOOM! Studios ,Paperback,26,2019,2019,,2019/09/14,"ebook, hoopla, spl","ebook (#106), hoopla (#11), spl (#45)",read,,,,1,,,0,,,,,
40789418,Coda #3,Simon Spurrier,"Spurrier, Simon",Matías Bergara,"=""""","=""""",0,4.26,BOOM! Studios,Kindle Edition,24,2018,2018,,2019/09/14,"ebook, hoopla, spl","ebook (#101), hoopla (#6), spl (#40)",read,,,,1,,,0,,,,,
41145592,Coda #4,Simon Spurrier,"Spurrier, Simon","Matías Bergara, Michael Doig, Laura Allred","=""""","=""""",0,4.24,BOOM! Studios,Kindle Edition,25,2018,2018,,2019/09/14,"ebook, hoopla, spl","ebook (#102), hoopla (#7), spl (#41)",read,,,,1,,,0,,,,,
41940484,Coda #5,Simon Spurrier,"Spurrier, Simon",Matías Bergara,"=""""","=""""",0,4.14,BOOM! Studios,Kindle Edition,25,2018,2018,,2019/09/14,"ebook, hoopla, spl","ebook (#103), hoopla (#8), spl (#42)",read,,,,1,,,0,,,,,
40025740,Coda #1,Simon Spurrier,"Spurrier, Simon",Matías Bergara,"=""""","=""""",0,3.86,Boom! Studios,,,2018,2018,,2019/09/14,"ebook, hoopla, spl","ebook (#99), hoopla (#4), spl (#38)",read,,,,1,,,0,,,,,
40524524,Coda #2,Simon Spurrier,"Spurrier, Simon",Matías Bergara,"=""""","=""""",0,4.15,BOOM! Studios,Kindle Edition,27,2018,2018,,2019/09/14,"ebook, hoopla, spl","ebook (#100), hoopla (#5), spl (#39)",read,,,,1,,,0,,,,,
24382227,Dreamland Burning,Jennifer Latham,"Latham, Jennifer",,"=""0316384933""","=""9780316384933""",3,4.23,"Little, Brown Books for Young Readers",Hardcover,365,2017,2017,,2019/09/12,"2019, ebook, spl, ya-sjw-book-club, libby","2019 (#5), ebook (#98), spl (#37), ya-sjw-book-club (#19), libby (#1)",read,"3.5/5 - An educational book - I had never heard of the Tulsa race riots before, so worth reading just for that, if nothing else. It was a somewhat emotionally tough read, and though a part of me dreads confronting the past, I was able to get through it nonetheless and appreciated it.",,,1,,,0,,,,,
7489836,9 Out of 10 Climbers Make the Same Mistakes,Dave MacLeod,"MacLeod, Dave",,"=""095642810X""","=""9780956428103""",3,4.03,Rare Breed Productions,Paperback,176,2009,2009,,2019/07/07,"2019, tradeback","2019 (#3), tradeback (#10)",read,"3.5/5 - Not a lot that was really new or surprising for me, but supports a lot of what I previously had read, and has a lot of generally good advice if you aren’t already somewhat into athletic performance. ",,,1,,,0,,,,,
